tempAvgT,setPointT,relaystateT,Kpt,KiT,KdT,InputT,OutputT,tempAvgB,setPointB,relayStateB,KpB,KiB,KdB,InputB,OutputB
168,144,0,50,0,0,0,0,167,182,0,50,0,0,0,0,0
169,144,0,50,0,0,0,0,168,182,0,50,0,0,0,0,0
167,144,0,50,0,0,0,0,166,182,0,50,0,0,0,0,0
164,144,0,50,0,0,0,0,163,182,0,50,0,0,0,0,0
162,144,0,50,0,0,0,0,161,182,0,50,0,0,0,0,0
159,144,0,50,0,0,0,0,158,182,0,50,0,0,0,0,0
157,144,0,50,0,0,0,0,156,182,0,50,0,0,0,0,0
155,144,0,50,0,0,0,0,153,182,0,50,0,0,0,0,0
154,144,0,50,0,0,0,0,153,182,0,50,0,0,0,0,0
154,144,0,50,0,0,0,0,153,182,0,50,0,0,0,0,0
153,144,0,50,0,0,0,0,152,182,0,50,0,0,0,0,0
154,144,0,50,0,0,0,0,154,182,0,50,0,0,0,0,0
158,144,0,50,0,0,0,0,156,182,0,50,0,0,0,0,0
158,144,0,50,0,0,0,0,158,182,0,50,0,0,0,0,0
156,144,0,50,0,0,0,0,155,182,0,50,0,0,0,0,0
155,144,0,50,0,0,0,0,154,182,0,50,0,0,0,0,0
155,144,0,50,0,0,0,0,154,182,0,50,0,0,0,0,0
155,144,0,50,0,0,155,0,154,182,1,50,0,0,154,1000,0
154,144,0,50,0,0,154,0,153,182,1,50,0,0,153,1000,0
154,144,0,50,0,0,154,0,153,182,1,50,0,0,153,1000,0
158,144,0,50,0,0,158,0,158,182,1,50,0,0,158,1000,0
162,144,0,50,0,0,162,0,163,182,1,50,0,0,163,928,0
170,144,0,50,0,0,170,0,171,182,1,50,0,0,171,705,0
174,144,0,50,0,0,174,0,175,182,0,50,0,0,175,312,0
183,144,0,50,0,0,183,0,184,182,0,50,0,0,184,46,0
185,144,0,50,0,0,185,0,186,182,0,50,0,0,186,0,0
182,144,0,50,0,0,182,0,182,182,0,50,0,0,182,0,0
183,144,0,50,0,0,183,0,181,182,0,50,0,0,181,7,0
184,144,0,50,0,0,184,0,184,182,0,50,0,0,184,0,0
185,144,0,50,0,0,185,0,185,182,0,50,0,0,185,0,0
184,144,0,50,0,0,184,0,184,182,0,50,0,0,184,0,0
184,144,0,50,0,0,184,0,183,182,0,50,0,0,183,0,0
187,144,0,50,0,0,187,0,187,182,0,50,0,0,187,0,0
185,144,0,50,0,0,185,0,186,182,0,50,0,0,186,0,0
181,144,0,50,0,0,181,0,180,182,0,50,0,0,180,0,0
180,144,0,50,0,0,180,0,179,182,0,50,0,0,179,62,0
175,144,0,50,0,0,175,0,173,182,0,50,0,0,173,239,0
174,144,0,50,0,0,174,0,173,182,0,50,0,0,173,435,0
174,144,0,50,0,0,174,0,173,182,0,50,0,0,173,419,0
175,144,0,50,0,0,175,0,174,182,0,50,0,0,174,432,0
176,144,0,50,0,0,176,0,174,182,0,50,0,0,174,375,0
176,144,0,50,0,0,176,0,175,182,0,50,0,0,175,362,0
181,144,0,50,0,0,181,0,180,182,0,50,0,0,180,253,0
183,144,0,50,0,0,183,0,183,182,0,50,0,0,183,67,0
185,144,0,50,0,0,185,0,184,182,0,50,0,0,184,0,0
185,144,0,50,0,0,185,0,183,182,0,50,0,0,183,0,0
184,144,0,50,0,0,184,0,182,182,0,50,0,0,182,0,0
182,144,0,50,0,0,182,0,181,182,0,50,0,0,181,0,0
180,144,0,50,0,0,180,0,177,182,0,50,0,0,177,141,0
179,144,0,50,0,0,179,0,177,182,0,50,0,0,177,201,0
177,144,0,50,0,0,179,0,174,182,0,50,0,0,177,201,0
174,144,0,50,0,0,179,0,172,182,0,50,0,0,177,201,0
173,144,0,50,0,0,179,0,171,182,0,50,0,0,177,201,0
174,144,0,50,0,0,179,0,172,182,0,50,0,0,177,201,0
173,144,0,50,0,0,179,0,171,182,0,50,0,0,177,201,0
172,144,0,50,0,0,172,0,170,182,0,50,0,0,170,517,0
170,144,0,50,0,0,170,0,168,182,0,50,0,0,169,566,0
171,144,0,50,0,0,171,0,169,182,0,50,0,0,169,662,0
171,144,0,50,0,0,171,0,169,182,0,50,0,0,169,625,1
173,144,0,50,0,0,173,0,171,182,0,50,0,0,171,578,1
175,144,0,50,0,0,175,0,174,182,0,50,0,0,174,507,1
177,144,0,50,0,0,177,0,176,182,0,50,0,0,176,328,1
